,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Inulin,0.0,COMM10<DL,0.0013013235436189741,0.00034875857405081633,4.637233117573181e-05,0.0008501594048884166,0.0005468070717805043,0.005082600714906772,0.0005400444401507102,0.00030721669403922325,0.0008231088783692398,0.00015360834701961162
1,Inulin,24.0,COMM10<DL_rep0.0_passage1.0,0.006933806435825279,0.04668763000122355,0.11903034381500062,0.3353651046127493,0.04599424935764102,1.213416126269424,0.03882931604062157,0.008782821485378688,0.015485501040009791,0.058475100942126525
2,Inulin,24.0,COMM10<DL_rep1.0_passage1.0,0.005474438785134882,0.03749990567817394,0.09511837389171854,0.2425176381814752,0.028193359743444637,0.9162841916619506,0.034488964346349744,0.01094887757026976,0.015328428598377668,0.06514582154310508
3,Inulin,24.0,COMM10<DL_rep2.0_passage1.0,0.00479448123620309,0.03563465783664459,0.08772604856512141,0.2328562913907285,0.02552737306843267,0.9664119205298012,0.024361147902869758,0.006349448123620308,0.010496026490066224,0.07334260485651213
4,Inulin,0.0,COMM10<DL_rep0.0_passage2.0,0.00034669032179126397,0.0023343815000611773,0.005951517190750031,0.016768255230637467,0.002299712467882051,0.0606708063134712,0.0019414658020310786,0.0004391410742689344,0.0007742750520004896,0.0029237550471063263
5,Inulin,0.0,COMM10<DL_rep1.0_passage2.0,0.0002737219392567441,0.001874995283908697,0.004755918694585927,0.01212588190907376,0.0014096679871722318,0.04581420958309753,0.0017244482173174873,0.000547443878513488,0.0007664214299188835,0.0032572910771552542
6,Inulin,0.0,COMM10<DL_rep2.0_passage2.0,0.00023972406181015449,0.0017817328918322294,0.00438630242825607,0.011642814569536425,0.0012763686534216334,0.04832059602649006,0.0012180573951434878,0.00031747240618101543,0.0005248013245033112,0.0036671302428256066
7,Inulin,24.0,COMM10<DL_rep0.0_passage2.0,0.0019964463125716468,0.04177179977072985,0.25938444784103937,0.5215332059610241,0.031021704241497906,0.9086902178066488,0.116715322888804,0.0038393198318685522,0.004453611004967521,0.12009392434084833
8,Inulin,24.0,COMM10<DL_rep1.0_passage2.0,0.0,0.03740928755843975,0.17126652013118415,0.5220976205428791,0.044210976205428784,0.8863960644756124,0.08352473658502547,0.0061215197822901395,0.004897215825832114,0.19085538343451253
9,Inulin,24.0,COMM10<DL_rep2.0_passage2.0,0.002424350144412353,0.04055276605198845,0.15119129082426128,0.6260333259275717,0.037687624972228384,0.8443350366585203,0.07328149300155523,0.0033059320151077537,0.005289491224172407,0.1976947345034437
10,Inulin,0.0,COMM10<DL_rep0.0_passage3.0,9.982231562858233e-05,0.0020885899885364928,0.012969222392051968,0.026076660298051207,0.0015510852120748952,0.045434510890332444,0.0058357661444402,0.00019196599159342762,0.00022268055024837605,0.0060046962170424165
11,Inulin,0.0,COMM10<DL_rep1.0_passage3.0,0.0,0.0018704643779219876,0.008563326006559208,0.026104881027143957,0.002210548810271439,0.04431980322378062,0.004176236829251273,0.000306075989114507,0.0002448607912916057,0.009542769171725626
12,Inulin,0.0,COMM10<DL_rep2.0_passage3.0,0.00012121750722061765,0.0020276383025994225,0.0075595645412130635,0.03130166629637858,0.0018843812486114193,0.04221675183292602,0.0036640746500777614,0.00016529660075538768,0.0002644745612086203,0.009884736725172184
13,Inulin,24.0,COMM10<DL_rep0.0_passage3.0,0.0,0.04026594052558783,0.310607295988935,0.2930526625172891,0.08195819502074689,0.7839241009681881,0.019200380359612725,0.015250587828492394,0.0,0.042240836791147984
14,Inulin,24.0,COMM10<DL_rep1.0_passage3.0,0.0,0.04300545474785706,0.31745675164199044,0.40710586663698095,0.12379227429589225,0.6848222197484136,0.049162417900478685,0.014646109317599909,0.001399309807414004,0.034609595903373036
15,Inulin,24.0,COMM10<DL_rep2.0_passage3.0,0.0,0.049372992935131664,0.1793238198458574,0.3410342405266538,0.09985549132947977,0.9046630138086059,0.0994394267822736,0.010956366409762363,0.001802946371226718,0.04105170199100834
16,Inulin,0.0,COMM10<DL_rep0.0_passage4.0,0.0,0.0020132970262793917,0.01553036479944675,0.014652633125864456,0.004097909751037345,0.039196205048409406,0.0009600190179806362,0.0007625293914246197,0.0,0.002112041839557399
17,Inulin,0.0,COMM10<DL_rep1.0_passage4.0,0.0,0.002150272737392853,0.015872837582099522,0.020355293331849048,0.0061896137147946124,0.03424111098742068,0.002458120895023934,0.0007323054658799954,6.99654903707002e-05,0.0017304797951686519
18,Inulin,0.0,COMM10<DL_rep2.0_passage4.0,0.0,0.002468649646756583,0.00896619099229287,0.01705171202633269,0.0049927745664739885,0.045233150690430296,0.00497197133911368,0.0005478183204881182,9.01473185613359e-05,0.002052585099550417
